HR(t),Cal(t),Inte(t),METs(t),Steps(t),Timestamp,HR(t-1),Cal(t-1),Inte(t-1),METs(t-1),Steps(t-1),HR(t-2),Cal(t-2),Inte(t-2),METs(t-2),Steps(t-2)
88.4444444444444,3.52817988395691,1,34,30,2016-04-12T14:08:00Z,84.4444444444444,4.1508002281189,1,40,58,75.7777777777778,3.11310005187988,1,30,24
88.1428571428571,1.34900999069214,0,13,0,2016-04-12T14:09:00Z,88.4444444444444,3.52817988395691,1,34,30,84.4444444444444,4.1508002281189,1,40,58
89,3.73571991920471,1,36,39,2016-04-12T14:10:00Z,88.1428571428571,1.34900999069214,0,13,0,88.4444444444444,3.52817988395691,1,34,30
76.7272727272727,4.35833978652954,1,42,66,2016-04-12T14:11:00Z,89,3.73571991920471,1,36,39,88.1428571428571,1.34900999069214,0,13,0
79.6666666666667,3.94325995445251,1,38,53,2016-04-12T14:12:00Z,76.7272727272727,4.35833978652954,1,42,66,89,3.73571991920471,1,36,39
87.7142857142857,3.52817988395691,1,34,37,2016-04-12T14:13:00Z,79.6666666666667,3.94325995445251,1,38,53,76.7272727272727,4.35833978652954,1,42,66
83.6666666666667,3.94325995445251,1,38,47,2016-04-12T14:14:00Z,87.7142857142857,3.52817988395691,1,34,37,79.6666666666667,3.94325995445251,1,38,53
90.5,3.32064008712769,1,32,25,2016-04-12T14:15:00Z,83.6666666666667,3.94325995445251,1,38,47,87.7142857142857,3.52817988395691,1,34,37
88.9,4.35833978652954,1,42,57,2016-04-12T14:16:00Z,90.5,3.32064008712769,1,32,25,83.6666666666667,3.94325995445251,1,38,47
88.5555555555556,4.35833978652954,1,42,63,2016-04-12T14:17:00Z,88.9,4.35833978652954,1,42,57,90.5,3.32064008712769,1,32,25
81,4.1508002281189,1,40,52,2016-04-12T14:18:00Z,88.5555555555556,4.35833978652954,1,42,63,88.9,4.35833978652954,1,42,57
78,5.60357999801636,2,54,93,2016-04-12T14:19:00Z,81,4.1508002281189,1,40,52,88.5555555555556,4.35833978652954,1,42,63
89.25,6.43374013900757,3,62,106,2016-04-12T14:20:00Z,78,5.60357999801636,2,54,93,81,4.1508002281189,1,40,52
95,6.01866006851196,2,58,103,2016-04-12T14:21:00Z,89.25,6.43374013900757,3,62,106,78,5.60357999801636,2,54,93
101.222222222222,5.39603996276855,2,52,82,2016-04-12T14:22:00Z,95,6.01866006851196,2,58,103,89.25,6.43374013900757,3,62,106
104.888888888889,4.98095989227295,2,48,66,2016-04-12T14:23:00Z,101.222222222222,5.39603996276855,2,52,82,95,6.01866006851196,2,58,103
97.875,5.60357999801636,2,54,74,2016-04-12T14:24:00Z,104.888888888889,4.98095989227295,2,48,66,101.222222222222,5.39603996276855,2,52,82
89,5.39603996276855,2,52,80,2016-04-12T14:25:00Z,97.875,5.60357999801636,2,54,74,104.888888888889,4.98095989227295,2,48,66
85.3333333333333,6.01866006851196,2,58,100,2016-04-12T14:26:00Z,89,5.39603996276855,2,52,80,97.875,5.60357999801636,2,54,74
83.5714285714286,5.39603996276855,2,52,87,2016-04-12T14:27:00Z,85.3333333333333,6.01866006851196,2,58,100,89,5.39603996276855,2,52,80
82.4,6.01866006851196,2,58,101,2016-04-12T14:28:00Z,83.5714285714286,5.39603996276855,2,52,87,85.3333333333333,6.01866006851196,2,58,100
76.4285714285714,3.94325995445251,1,38,49,2016-04-12T14:29:00Z,82.4,6.01866006851196,2,58,101,83.5714285714286,5.39603996276855,2,52,87
76.3,2.69801998138428,1,26,9,2016-04-12T14:30:00Z,76.4285714285714,3.94325995445251,1,38,49,82.4,6.01866006851196,2,58,101
81.6666666666667,3.11310005187988,1,30,26,2016-04-12T14:31:00Z,76.3,2.69801998138428,1,26,9,76.4285714285714,3.94325995445251,1,38,49
88.3333333333333,3.11310005187988,1,30,20,2016-04-12T14:32:00Z,81.6666666666667,3.11310005187988,1,30,26,76.3,2.69801998138428,1,26,9
86.4285714285714,3.11310005187988,1,30,12,2016-04-12T14:33:00Z,88.3333333333333,3.11310005187988,1,30,20,81.6666666666667,3.11310005187988,1,30,26
